"cluster","engine","intercept","slope","fit_success","warning","error"
"308","ols",244.192669090909,21.7647024242424,TRUE,,
"308","robust",238.875102892154,25.5814634835887,TRUE,,
"308","robustbase",240.602149924824,25.2483298490783,TRUE,,
"309","ols",205.054945454546,2.26178545454545,TRUE,,
"309","robust",195.724386111111,3.73503166666667,TRUE,,
"309","robustbase",195.915992077408,3.64959131974265,TRUE,,
"310","ols",203.484225454545,6.11489878787879,TRUE,,
"310","robust",203.484225454545,6.11489878787879,TRUE,,
"310","robustbase",203.244886827918,6.15360875829917,TRUE,,
"330","ols",289.685092727273,3.00807272727272,TRUE,,
"330","robust",289.685092727273,3.00807272727273,TRUE,,
"330","robustbase",289.447554792262,2.77589102649093,TRUE,,
"331","ols",285.738965454545,5.26601878787879,TRUE,,
"331","robust",294.282957777778,2.06202166666667,TRUE,,
"331","robustbase",286.880551355301,4.9632329615429,TRUE,,
"332","ols",264.251614545455,9.56676787878787,TRUE,,
"332","robust",245.666766216216,13.322009009009,TRUE,,
"332","robustbase",253.463866439589,10.0553709224052,TRUE,,
"333","ols",275.019105454545,9.14204545454546,TRUE,,
"333","robust",275.019105454545,9.14204545454545,TRUE,,
"333","robustbase",275.239756537321,9.12611073621268,TRUE,,
"334","ols",240.162914545455,12.2531412121212,TRUE,,
"334","robust",201.780392857143,18.1159785714286,TRUE,,
"334","robustbase",237.158265388023,12.4883491898501,TRUE,"M-step did NOT converge. Returning unconverged SM-estimate",
"335","ols",263.034692727273,-2.88103393939394,TRUE,,
"335","robust",274.343066666667,-4.66656666666667,TRUE,,
"335","robustbase",266.504686052411,-3.45636581402069,TRUE,,
"337","ols",290.104127272727,19.025973939394,TRUE,,
"337","robust",300.583907647059,17.6824123529412,TRUE,,
"337","robustbase",300.21646563127,17.6711206007453,TRUE,,
"349","ols",215.111772727273,13.4939327272727,TRUE,,
"349","robust",215.111772727273,13.4939327272727,TRUE,,
"349","robustbase",214.549578705151,13.5892591765989,TRUE,,
"350","ols",225.834603636364,19.504016969697,TRUE,,
"350","robust",225.834603636364,19.504016969697,TRUE,,
"350","robustbase",225.727665917359,19.5013240806665,TRUE,,
"351","ols",261.147010909091,6.43349757575758,TRUE,,
"351","robust",261.069516560585,6.49807619951227,TRUE,,
"351","robustbase",258.785576889928,7.03890056762207,TRUE,,
"352","ols",276.372069090909,13.5665490909091,TRUE,,
"352","robust",305.238858333333,9.008635,TRUE,,
"352","robustbase",306.121156631205,8.86528686295981,TRUE,,
"369","ols",254.968149090909,11.3481090909091,TRUE,,
"369","robust",254.968149090909,11.3481090909091,TRUE,,
"369","robustbase",255.186959365082,11.3915567081387,TRUE,,
"370","ols",210.449090909091,18.0561509090909,TRUE,,
"370","robust",210.449090909091,18.0561509090909,TRUE,,
"370","robustbase",210.046237158214,18.0942677561203,TRUE,,
"371","ols",253.636038181818,9.18844484848485,TRUE,,
"371","robust",267.696443442623,4.38407254098361,TRUE,,
"371","robustbase",269.643534415847,3.0558357919135,TRUE,,
"372","ols",267.0448,11.2980733333333,TRUE,,
"372","robust",270.601248378378,11.1287186486487,TRUE,,
"372","robustbase",268.911239408297,11.1736452662485,TRUE,,
