"row_id","Subject","Days","Reaction_observed","Reaction_perturbed","contaminated","contamination_sign","signed_displacement","absolute_displacement","cluster","out","x","ols_residual","standardized_residual","leverage","cooks_distance","robust_weight","robustbase_weight"
7,"308",6,382.2038,228.652906239649,TRUE,-1,-153.550893760351,153.550893760351,"308",228.652906239649,6,-77.0253091575037,-1.16605861330693,0.00707070707070707,0.00484122524296588,0.984080510860847,0.74673708407181
19,"309",8,224.2957,70.7448062396485,TRUE,-1,-153.550893760351,153.550893760351,"309",70.7448062396485,8,-253.593153020987,-3.85214082125915,0.0138047138047138,0.103857723656411,0,0
30,"310",9,247.5153,401.066193760351,TRUE,1,153.550893760351,153.550893760351,"310",401.066193760351,9,67.3983625679748,1.02660510768288,0.0191919191919192,0.010311247628883,1,0.868238102438698
37,"330",6,280.2396,126.688706239648,TRUE,-1,-153.550893760351,153.550893760351,"330",126.688706239648,6,-178.989509157504,-2.70965817765048,0.00707070707070707,0.0261422848819719,0,0.109587637616524
45,"331",4,316.2773,162.726406239649,TRUE,-1,-153.550893760351,153.550893760351,"331",162.726406239649,4,-124.292065294021,-1.88033832743706,0.00572390572390572,0.0101771804665915,0,0.452000417600366
52,"332",1,242.8118,89.2609062396485,TRUE,-1,-153.550893760351,153.550893760351,"332",89.2609062396485,1,-169.767949498796,-2.57881587343825,0.0138047138047138,0.0465452276669478,0,0.170536944116641
63,"333",2,276.7693,430.320193760351,TRUE,1,153.550893760351,153.550893760351,"333",430.320193760351,2,161.961466090165,2.45520921013001,0.00976430976430977,0.0297200808738032,0,0.269606935794135
73,"334",2,243.3647,396.915593760351,TRUE,1,153.550893760351,153.550893760351,"334",396.915593760351,2,128.556866090165,1.94882158867535,0.00976430976430977,0.0187247980194027,0.211390460092796,0.492376117885034
81,"335",0,241.6083,395.159193760352,TRUE,1,153.550893760351,153.550893760351,"335",395.159193760352,0,145.460209953648,2.21563534800169,0.0191919191919192,0.0480287126215124,0,0.371201099086898
97,"337",6,404.2601,250.709206239649,TRUE,-1,-153.550893760351,153.550893760351,"337",250.709206239649,6,-54.9690091575037,-0.832156174303525,0.00707070707070707,0.00246560899746711,1,0.858108451099362
110,"349",9,351.6451,198.094206239649,TRUE,-1,-153.550893760351,153.550893760351,"349",198.094206239649,9,-135.573624952728,-2.06504387555681,0.0191919191919192,0.0417217909122137,0,0.358817406162932
112,"350",1,243.4543,397.005193760352,TRUE,1,153.550893760351,153.550893760351,"350",397.005193760352,1,137.976338021907,2.09589366956628,0.0138047138047138,0.0307448926663107,0,0.425133660996535
123,"351",2,269.8939,116.343006239648,TRUE,-1,-153.550893760351,153.550893760351,"351",116.343006239648,2,-152.015721430538,-2.3044394963246,0.00976430976430977,0.0261820469864677,0,0.274218060971099
131,"352",0,221.6771,68.1262062396485,TRUE,-1,-153.550893760351,153.550893760351,"352",68.1262062396485,0,-181.572777567055,-2.76569836067616,0.0191919191919192,0.0748365916697678,0,0.11166666712304
150,"369",9,366.5131,212.962206239649,TRUE,-1,-153.550893760351,153.550893760351,"369",212.962206239649,9,-120.705624952728,-1.83857598880904,0.0191919191919192,0.0330725394777949,0,0.459271168656218
153,"370",2,238.9008,85.3499062396485,TRUE,-1,-153.550893760351,153.550893760351,"370",85.3499062396485,2,-183.008821430538,-2.77427066300544,0.00976430976430977,0.0379464049025444,0,0.100165827332323
168,"371",7,304.6306,151.079706239649,TRUE,-1,-153.550893760351,153.550893760351,"371",151.079706239649,7,-163.928381089245,-2.48502610385087,0.00976430976430977,0.0304463256320616,0,0.186505828466816
172,"372",1,273.474,119.923106239648,TRUE,-1,-153.550893760351,153.550893760351,"372",119.923106239648,1,-139.105749498796,-2.11304970080094,0.0138047138047138,0.0312502800546693,0,0.362102236365938
