"row_id","cluster","out","x","ols_residual","standardized_residual","leverage","cooks_distance","robust_weight","robustbase_weight"
1,"308",249.56,0,-0.138983806702891,-0.00211698742239466,0.019191919191919,4.3847105656522e-08,,0.999455865500883
2,"308",258.7047,1,-0.324155738444847,-0.00492400341899398,0.0138047138047138,1.69695834155145e-07,,0.999237494272147
3,"308",250.8006,2,-17.5581276701862,-0.266167489151282,0.00976430976430977,0.000349287459393375,,0.981006195585549
4,"308",321.4398,3,43.7512003980723,0.662333778659293,0.00707070707070707,0.00156195434408529,,0.942863899829233
5,"308",356.8519,4,69.8334284663308,1.05646705419974,0.00572390572390572,0.00321267944841876,,0.84626226302549
6,"308",414.6901,5,118.341756534589,1.79031976033082,0.00572390572390572,0.00922606880323857,,0.570716918357322
7,"308",228.652906239649,6,-77.0253091575037,-1.16605861330693,0.00707070707070707,0.00484122524296588,,0.74673708407181
8,"308",290.1486,7,-24.8594873288937,-0.376850393630244,0.00976430976430977,0.000700181971472089,,0.960666967608024
9,"308",430.5853,8,106.247340739365,1.61392259032509,0.0138047138047138,0.018230555006833,,0.657963262367918
10,"308",466.3535,9,132.685668807623,2.02105481682651,0.0191919191919192,0.0399632280534165,,0.488263861149821
11,"309",222.7339,0,-26.9650838067032,-0.410729455587872,0.0191919191919192,0.00165050207418264,,0.964038245814135
12,"309",205.2658,1,-53.7630557384446,-0.81667371227706,0.0138047138047138,0.00466800854306934,,0.87417157448864
13,"309",202.9778,2,-65.3809276701862,-0.991123750962593,0.00976430976430977,0.00484315919788212,,0.818805511500087
14,"309",204.707,3,-72.9815996019277,-1.10484234025895,0.00707070707070707,0.00434625441393797,,0.777178683414057
15,"309",207.7161,4,-79.3023715336692,-1.1997168789389,0.00572390572390572,0.00414298171747122,,0.739563009558796
16,"309",215.9618,5,-80.3865434654107,-1.21611865029866,0.00572390572390572,0.00425703652510529,,0.730504869591606
17,"309",213.6303,6,-92.0479153971522,-1.39348047751835,0.00707070707070707,0.00691379190670058,,0.657652373089216
18,"309",217.7272,7,-97.2808873288937,-1.47470220111834,0.00976430976430977,0.0107221439778162,,0.621480037427965
19,"309",70.7448062396485,8,-253.593153020987,-3.85214082125915,0.0138047138047138,0.103857723656411,,0
20,"309",237.3142,9,-96.3536311923767,-1.46764885906721,0.0191919191919192,0.0210740835720413,,0.620977910709565
21,"310",199.0539,0,-50.6450838067032,-0.771420843682243,0.0191919191919192,0.00582219991930024,,0.888974301087695
22,"310",194.3322,1,-64.6966557384447,-0.982757718811076,0.0138047138047138,0.00675969991280177,,0.824605998365612
